price,lon,amenities,address,lat,prize_range,name,link,tenure,size
"RM 250,000",101.616072,"3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)","Jalan Desa 2/9, Desa Aman Puri, 52200, Kuala Lumpur",3.209852,,"Desa Dua Aman Puri, Kepong",https://www.iproperty.com.my/property/desa-dua-aman-puri-kepong-5470183,Freehold,840 sq. ft.
"RM 278,000",101.612943,"3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)","Jalan Aman, Desa Aman Puri, 52100, Kuala Lumpur",3.210202,,"Aman Dua, Kepong",https://www.iproperty.com.my/property/aman-dua-kepong-5585210,Freehold,837 sq. ft.
"RM 288,000",101.462881,"3 Bedroom(s),2 Bathroom(s),2 Parking Bay(s)","Jalan Setia Permai U13 40170 Shah Alam, 40170, Selangor",3.105324,,"Seri Pinang, Shah Alam, Setia Alam",https://www.iproperty.com.my/property/seri-pinang-setia-alam-5623401,Freehold,850 sq. ft.
"RM 325,000",101.647587,"3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)","Jalan 34/38A, Taman Sri Bintang, Bandar Manjalara, 51200, Ku...",3.186158,,"Nova Ii, Taman Sri Sinar, Nova 2, Segambut Da..",https://www.iproperty.com.my/property/nova-ii-segambut-3307281,Freehold,833 sq. ft.
"RM 300,000",101.678631,"3 Bedroom(s),2 Bathroom(s)","Jalan Klang Lama, Kuala Lumpur",3.103134,,"Pangsapuri Desa Tenaga, Taman Desa, Old Klang..",https://www.iproperty.com.my/property/pangsapuri-desa-tenaga-old-klang-road-5595748,Freehold,750 sq. ft.
"RM 345,000",101.744935,"3+1 Bedroom(s),2 Bathroom(s),2 Parking Bay(s)","Jalan Cu 1/A, 56100, Kuala Lumpur",3.045976,,"Green Suria Apartment, Bandar Tun Hussein Onn..",https://www.iproperty.com.my/property/green-suria-apartment-cheras-5235847,Freehold,"1,027 sq. ft."
"RM 290,000",101.676942,"3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)","Jalan Rungkup 2, 51200 Jalan Ipoh, WP Kuala Lumpur, 51200, K...",3.197581,,"Pelangi Indah Condominium, Jalan Ipoh",https://www.iproperty.com.my/property/pelangi-indah-condominium-jalan-ipoh-5479580,Freehold,870 sq. ft.
"RM 260,000",101.676942,"3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)","Jalan Rungkup 2, 51200 Jalan Ipoh, WP Kuala Lumpur, 51200, K...",3.197581,,"Pelangi Indah Condominium, Jalan Ipoh",https://www.iproperty.com.my/property/pelangi-indah-condominium-jalan-ipoh-5614308,Freehold,870 sq. ft.
"RM 345,800",101.746531,"3 Bedroom(s),2 Bathroom(s),2 Parking Bay(s)","43200, Selangor",3.043369,,"Green Suria Apartment, Tun Hussein Onn Bandar..",https://www.iproperty.com.my/property/green-suria-apartment-cheras-4735099,Freehold,"1,027 sq. ft."
"RM 345,000",101.747161,"3+1 Bedroom(s),2 Bathroom(s),2 Parking Bay(s)","Jalan Cu 1/A, 56100, Selangor",3.046136,,"Green Suria Apartment, Bandar Tun Hussein Onn..",https://www.iproperty.com.my/property/green-suria-apartment-cheras-5115829,Freehold,"1,027 sq. ft."
